Generation,Block,Dish,Lineage,Sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
11,4,15,D4,M,5,2,2,3,3,0,1,0
11,4,21,D4,M,3,3,2,3,1,0,1,2
11,4,46,D4,M,0,3,4,0,1,0,1,5
11,4,3,U1,M,0,2,3,0,1,0,7,3
11,4,17,U1,M,2,1,0,0,0,5,2,5
11,4,33,U1,M,1,0,6,4,2,0,3,0
11,4,11,U2,M,1,5,2,3,0,2,3,0
11,4,18,U2,M,1,0,0,0,1,7,7,0
11,4,35,U2,M,2,2,1,0,2,1,3,5
11,4,13,U3,M,4,3,2,0,5,0,1,0
11,4,31,U3,M,2,0,3,1,5,3,1,0
11,4,48,U3,M,3,1,0,3,5,0,4,0
11,4,1,U4,M,1,1,3,1,2,7,0,1
11,4,19,U4,M,1,1,4,0,6,1,3,0
11,4,38,U4,M,0,3,0,1,4,1,0,6
